Prix,Surface,Commune,Pieces,DPE,Titre,Lien,Source
1350.0,1002.0,Vannes,4.0,,Maison 1002 m2 Vannes (56),https://www.paruvendu.fr/immobilier/location/maison/1289476921A1KILHMN000,paruvendu
1300.0,300.0,Saint-Avé,1.0,,Atelier 300 m2 Saint-Avé (56),https://www.paruvendu.fr/immobilier/location/atelier/1293458767A1KILHAT000,paruvendu
445.0,65.0,Vannes,4.0,,Location Chambre 4 pièces Vannes Kercado - Trussac 56 445 € Colocation Meublé,https://www.ouestfrance-immo.com/immobilier/location/appartement/vannes-56-56260/chambre-20350962.htm,ouestfrance
1350.0,150.0,Vannes,4.0,6.0,Maison 150 m2 Vannes (56),https://www.paruvendu.fr/immobilier/location/maison/1291300267A1KILHMN000,paruvendu
1025.0,106.0,Plaudren,5.0,7.0,Maison 106 m2 Plaudren (56),https://www.paruvendu.fr/immobilier/location/maison/1291703483A1KILHMN000,paruvendu
750.0,75.0,Arradon,4.0,5.0,Appartement 75 m2 Arradon (56),https://www.paruvendu.fr/immobilier/location/appartement/1293317298A1KILHAP000,paruvendu
454.0,45.0,Vannes,2.0,,Duplex/triplex 45 m2 Vannes (56),https://www.paruvendu.fr/immobilier/location/duplex-triplex/1290564789A1KILHDU000,paruvendu
1016.0,98.0,Grand-Champ,5.0,6.0,Appartement 98 m2 Grand-Champ (56),https://www.paruvendu.fr/immobilier/location/appartement/1292789524A1KILHAP000,paruvendu
760.0,73.0,Vannes,3.0,2.0,Appartement 73 m2 Vannes (56),https://www.paruvendu.fr/immobilier/location/appartement/1293102061A1KILHAP000,paruvendu
870.0,78.0,Vannes,3.0,4.0,Appartement 78 m2 Vannes (56),https://www.paruvendu.fr/immobilier/location/appartement/1292802001A1KILHAP000,paruvendu
1300.0,115.0,Ploeren,4.0,2.0,Maison 115 m2 Ploeren (56),https://www.paruvendu.fr/immobilier/location/maison/1292721670A1KILHMN000,paruvendu
600.0,53.0,Vannes,3.0,4.0,Maison 53 m2 Vannes (56),https://www.paruvendu.fr/immobilier/location/maison/1293220692A1KILHMN000,paruvendu
600.0,53.0,Vannes,3.0,,Location maison 3 pièces Vannes Centre Ville 56 600 € Meublé,https://www.ouestfrance-immo.com/immobilier/location/maison/vannes-56-56260/20422388.htm,ouestfrance
1300.0,114.0,Vannes,6.0,5.0,Maison 114 m2 Vannes (56),https://www.paruvendu.fr/immobilier/location/maison/1293072065A1KILHMN000,paruvendu
1375.0,120.0,Vannes,7.0,4.0,Maison 120 m2 Vannes (56),https://www.paruvendu.fr/immobilier/location/maison/1293505444A1KILHMN000,paruvendu
642.0,54.0,Pluneret,3.0,,Location appartement 3 pièces Pluneret 56 642 €,https://www.ouestfrance-immo.com/immobilier/location/appartement/pluneret-56-56176/3-pieces-20452685.htm,ouestfrance
642.0,54.0,Pluneret,3.0,3.0,Appartement 54 m2 Pluneret (56),https://www.paruvendu.fr/immobilier/location/appartement/1293483005A1KILHAP000,paruvendu
967.0,76.0,Vannes,4.0,4.0,Appartement 76 m2 Vannes (56),https://www.paruvendu.fr/immobilier/location/appartement/1293477898A1KILHAP000,paruvendu
1200.0,94.0,Sarzeau,4.0,5.0,Appartement 94 m2 Sarzeau (56),https://www.paruvendu.fr/immobilier/location/appartement/1288614849A1KILHAP000,paruvendu
